index,group,filename,relative_path,past_similarity,wide_similarity,modern_similarity,predicted_group,correct,margin
0,past_skinny,1.jpeg,data\clip_skinny\past_skinny\1.jpeg,0.612782,0.484877,0.496814,past_skinny,True,0.115968
1,past_skinny,10.jpeg,data\clip_skinny\past_skinny\10.jpeg,0.597050,0.420517,0.530760,past_skinny,True,0.066290
2,past_skinny,2.jpeg,data\clip_skinny\past_skinny\2.jpeg,0.694900,0.470390,0.638362,past_skinny,True,0.056539
3,past_skinny,3.jpeg,data\clip_skinny\past_skinny\3.jpeg,0.660321,0.388982,0.548747,past_skinny,True,0.111574
4,past_skinny,4.jpeg,data\clip_skinny\past_skinny\4.jpeg,0.706819,0.468561,0.668129,past_skinny,True,0.038690
5,past_skinny,5.jpeg,data\clip_skinny\past_skinny\5.jpeg,0.680932,0.612529,0.629537,past_skinny,True,0.051395
6,past_skinny,6.jpeg,data\clip_skinny\past_skinny\6.jpeg,0.639783,0.626195,0.662900,modern_slim,False,0.023117
7,past_skinny,7.jpeg,data\clip_skinny\past_skinny\7.jpeg,0.516515,0.356257,0.518838,modern_slim,False,0.002323
8,past_skinny,8.jpeg,data\clip_skinny\past_skinny\8.jpeg,0.681663,0.524786,0.656258,past_skinny,True,0.025405
9,past_skinny,9.jpeg,data\clip_skinny\past_skinny\9.jpeg,0.557299,0.335109,0.565109,modern_slim,False,0.007810
10,wide_period,1.jpeg,data\clip_skinny\wide_period\1.jpeg,0.469245,0.740756,0.573169,wide_period,True,0.167587
11,wide_period,10.jpeg,data\clip_skinny\wide_period\10.jpeg,0.555719,0.536928,0.621481,modern_slim,False,0.065762
12,wide_period,2.jpeg,data\clip_skinny\wide_period\2.jpeg,0.490322,0.711606,0.516683,wide_period,True,0.194923
13,wide_period,3.jpeg,data\clip_skinny\wide_period\3.jpeg,0.634828,0.771263,0.790709,modern_slim,False,0.019445
14,wide_period,4.jpeg,data\clip_skinny\wide_period\4.jpeg,0.512319,0.818383,0.611579,wide_period,True,0.206804
15,wide_period,5.jpeg,data\clip_skinny\wide_period\5.jpeg,0.540139,0.778239,0.694078,wide_period,True,0.084161
16,wide_period,6.jpeg,data\clip_skinny\wide_period\6.jpeg,0.382952,0.667437,0.473346,wide_period,True,0.194091
17,wide_period,7.jpeg,data\clip_skinny\wide_period\7.jpeg,0.531256,0.766555,0.641954,wide_period,True,0.124601
18,wide_period,8.jpeg,data\clip_skinny\wide_period\8.jpeg,0.482815,0.706307,0.537103,wide_period,True,0.169205
19,wide_period,9.jpeg,data\clip_skinny\wide_period\9.jpeg,0.505888,0.694939,0.521466,wide_period,True,0.173473
20,modern_slim,1.jpeg,data\clip_skinny\modern_slim\1.jpeg,0.631874,0.794245,0.703099,wide_period,False,0.091145
21,modern_slim,10.jpeg,data\clip_skinny\modern_slim\10.jpeg,0.633387,0.634863,0.710355,modern_slim,True,0.075492
22,modern_slim,2.jpeg,data\clip_skinny\modern_slim\2.jpeg,0.622537,0.564464,0.718826,modern_slim,True,0.096289
23,modern_slim,3.jpeg,data\clip_skinny\modern_slim\3.jpeg,0.666626,0.663255,0.802642,modern_slim,True,0.136015
24,modern_slim,4.jpeg,data\clip_skinny\modern_slim\4.jpeg,0.584925,0.358140,0.466133,past_skinny,False,0.118792
25,modern_slim,5.jpeg,data\clip_skinny\modern_slim\5.jpeg,0.589998,0.510946,0.614366,modern_slim,True,0.024369
26,modern_slim,6.jpeg,data\clip_skinny\modern_slim\6.jpeg,0.538054,0.532137,0.670250,modern_slim,True,0.132196
27,modern_slim,7.jpeg,data\clip_skinny\modern_slim\7.jpeg,0.668671,0.614136,0.789294,modern_slim,True,0.120624
28,modern_slim,8.jpeg,data\clip_skinny\modern_slim\8.jpeg,0.502854,0.489930,0.526456,modern_slim,True,0.023602
29,modern_slim,9.jpeg,data\clip_skinny\modern_slim\9.jpeg,0.603170,0.448160,0.562108,past_skinny,False,0.041062
