index,group,filename,relative_path
0,past_skinny,1.jpeg,data\clip_skinny\past_skinny\1.jpeg
1,past_skinny,10.jpeg,data\clip_skinny\past_skinny\10.jpeg
2,past_skinny,2.jpeg,data\clip_skinny\past_skinny\2.jpeg
3,past_skinny,3.jpeg,data\clip_skinny\past_skinny\3.jpeg
4,past_skinny,4.jpeg,data\clip_skinny\past_skinny\4.jpeg
5,past_skinny,5.jpeg,data\clip_skinny\past_skinny\5.jpeg
6,past_skinny,6.jpeg,data\clip_skinny\past_skinny\6.jpeg
7,past_skinny,7.jpeg,data\clip_skinny\past_skinny\7.jpeg
8,past_skinny,8.jpeg,data\clip_skinny\past_skinny\8.jpeg
9,past_skinny,9.jpeg,data\clip_skinny\past_skinny\9.jpeg
10,wide_period,1.jpeg,data\clip_skinny\wide_period\1.jpeg
11,wide_period,10.jpeg,data\clip_skinny\wide_period\10.jpeg
12,wide_period,2.jpeg,data\clip_skinny\wide_period\2.jpeg
13,wide_period,3.jpeg,data\clip_skinny\wide_period\3.jpeg
14,wide_period,4.jpeg,data\clip_skinny\wide_period\4.jpeg
15,wide_period,5.jpeg,data\clip_skinny\wide_period\5.jpeg
16,wide_period,6.jpeg,data\clip_skinny\wide_period\6.jpeg
17,wide_period,7.jpeg,data\clip_skinny\wide_period\7.jpeg
18,wide_period,8.jpeg,data\clip_skinny\wide_period\8.jpeg
19,wide_period,9.jpeg,data\clip_skinny\wide_period\9.jpeg
20,modern_slim,1.jpeg,data\clip_skinny\modern_slim\1.jpeg
21,modern_slim,10.jpeg,data\clip_skinny\modern_slim\10.jpeg
22,modern_slim,2.jpeg,data\clip_skinny\modern_slim\2.jpeg
23,modern_slim,3.jpeg,data\clip_skinny\modern_slim\3.jpeg
24,modern_slim,4.jpeg,data\clip_skinny\modern_slim\4.jpeg
25,modern_slim,5.jpeg,data\clip_skinny\modern_slim\5.jpeg
26,modern_slim,6.jpeg,data\clip_skinny\modern_slim\6.jpeg
27,modern_slim,7.jpeg,data\clip_skinny\modern_slim\7.jpeg
28,modern_slim,8.jpeg,data\clip_skinny\modern_slim\8.jpeg
29,modern_slim,9.jpeg,data\clip_skinny\modern_slim\9.jpeg
